dd_vr,sp_name,sj,sa,g,r,f,m_1_1,m_1_2,m_2_1,m_2_2,gen_time,net_rep_rate,life_expect,rep_val_j,rep_val_a,sens_sj,sens_sa,sens_g,sens_r,sens_f
sj,F2,0.4,0.6,0.9,0.05,1.6285714285714283,0.039999999999999994,1.6585714285714284,0.36000000000000004,0.57,3.2091092400422436,1.4464285714285712,1.9651741293532337,1,3.005252452024915,0.9474358244862131,0.6401077308506934,0.2709494179064397,-0.2651116194309934,0.22034766675162057
sj,F1,0.525,0.6875,0.75,0.0625,1.0088091563786006,0.13125,1.0517779063786006,0.39375000000000004,0.64453125,3.7807153088341883,1.3410604849453769,2.566744730679157,1,2.411332986114614,0.647986818608113,0.6601484119456933,0.2332406003718256,-0.27572189832253324,0.28416400514223883
sj,M,0.65,0.7749999999999999,0.6,0.07500000000000001,0.6434551886792454,0.26,0.7015801886792454,0.39,0.7168749999999999,4.639358695071292,1.3059663437021929,3.6026091319618665,1,2.0492984539644765,0.48869965315819963,0.6732212392750452,0.20454034387308445,-0.2778176479535855,0.3416324336530237
sj,S1,0.775,0.8624999999999999,0.44999999999999996,0.08750000000000001,0.38677639949109427,0.4262500000000001,0.4622451494910943,0.34874999999999995,0.78703125,6.0574643310422145,1.319313476026543,5.859104428961413,1,1.7793825184175438,0.39858374456926504,0.6778944794706767,0.17824031021247017,-0.26630204637075,0.39615463331031786
sj,S2,0.9,0.95,0.29999999999999993,0.1,0.1863247863247864,0.6300000000000001,0.2813247863247864,0.26999999999999996,0.855,8.825939007531797,1.4158004158004163,14.821428571428575,1,1.5191886683364182,0.3594857196582404,0.6654152022728888,0.14533927021916587,-0.22368226401496283,0.45350568899555566
sa,F2,0.4,0.6,0.9,0.05,1.5816666666666668,0.039999999999999994,1.6116666666666668,0.36000000000000004,0.57,3.2205011885033787,1.4055232558139537,1.9651741293532337,1,2.9763591821409885,0.9328387370817208,0.6422371835167093,0.26539158143914676,-0.2646616516758019,0.22318956836335638
sa,F1,0.525,0.6875,0.75,0.0625,1.1248908730158726,0.13125,1.1678596230158726,0.39375000000000004,0.64453125,3.7205916276509616,1.4890694916594194,2.566744730679157,1,2.493202915986781,0.6847721389683952,0.6516387843886343,0.2532260566118845,-0.27874644697371653,0.271529993060839
sa,M,0.65,0.7749999999999999,0.6,0.07500000000000001,0.8085096153846153,0.26,0.8666346153846153,0.39,0.7168749999999999,4.464145886907853,1.6132092357257917,3.6026091319618665,1,2.1873701221058455,0.5430839621957707,0.6550556332580058,0.24476856049290058,-0.2872730137304388,0.31218139106361104
sa,S1,0.775,0.8624999999999999,0.44999999999999996,0.08750000000000001,0.5608669354838713,0.4262500000000001,0.6363356854838713,0.34874999999999995,0.78703125,5.6651389490803234,1.816192654611368,5.859104428961413,1,1.9636809511203288,0.46048792939284067,0.6496534460176483,0.2398877888447381,-0.28731904028630795,0.3456782294828587
sa,S2,0.9,0.95,0.29999999999999993,0.1,0.3437037037037038,0.6300000000000001,0.4387037037037038,0.26999999999999996,0.855,7.9622485597870964,2.207828518173346,14.821428571428575,1,1.7577258164982656,0.4229952489525538,0.6270988252306569,0.2350352869383378,-0.2683847038975667,0.3728396320645412
g,F2,0.4,0.6,0.9,0.05,1.1962962962962962,0.039999999999999994,1.2262962962962962,0.36000000000000004,0.57,3.336538077520703,1.0694444444444444,1.9651741293532337,1,2.723128516350501,0.8029198339531267,0.6635503251203985,0.2169555536867661,-0.2601580406603792,0.25163342740813155
g,F1,0.525,0.6875,0.75,0.0625,0.7997948232323231,0.13125,0.8427635732323231,0.39375000000000004,0.64453125,3.9171477467054423,1.0745585349901896,2.566744730679157,1,2.2534025690189354,0.5752692126959305,0.6790216093278905,0.1951226392653479,-0.26901386047915077,0.3121845268563212
g,M,0.65,0.7749999999999999,0.6,0.07500000000000001,0.5239253393665159,0.26,0.5820503393665158,0.39,0.7168749999999999,4.807295075168419,1.0834658187599362,3.6026091319618665,1,1.9405525953428029,0.44400637202354365,0.6901350282876362,0.17352291677599613,-0.26901386449397724,0.3690539642141794
g,S1,0.775,0.8624999999999999,0.44999999999999996,0.08750000000000001,0.30924899193548433,0.4262500000000001,0.38471774193548436,0.34874999999999995,0.78703125,6.30536791315255,1.0980392156862755,5.859104428961413,1,1.688009517408512,0.3655065545384938,0.6951929130471644,0.14881654970727393,-0.2534285418005149,0.42707286157705426
g,S2,0.9,0.95,0.29999999999999993,0.1,0.12671957671957668,0.6300000000000001,0.22171957671957668,0.26999999999999996,0.855,9.345568320656017,1.1158301158301156,14.821428571428575,1,1.4140606352623386,0.3272850133200167,0.688120549630352,0.10848806530308258,-0.19719269209792228,0.5013064202744257
r,F2,0.4,0.6,0.9,0.05,1.1316666666666666,0.039999999999999994,1.1616666666666666,0.36000000000000004,0.57,3.361232280438535,1.0130813953488371,1.9651741293532337,1,2.6774280403509207,0.7790297408223701,0.6679889819301612,0.20827573316581527,-0.2592201224466387,0.25755712138964987
r,F1,0.525,0.6875,0.75,0.0625,0.7537599206349204,0.13125,0.7967286706349204,0.39375000000000004,0.64453125,3.9538307854267063,1.0158621234880225,2.566744730679157,1,2.2164781796037167,0.5578748369764317,0.6839837031309113,0.1863078089819556,-0.2672501999642411,0.3195516122705825
r,M,0.65,0.7749999999999999,0.6,0.07500000000000001,0.48951923076923076,0.26,0.5476442307692307,0.39,0.7168749999999999,4.864884953092352,1.0194200823339894,3.6026091319618665,1,1.9075934575162838,0.4300683985519312,0.6958108755005135,0.16426255175434867,-0.26605953357647594,0.3782559483285905
r,S1,0.775,0.8624999999999999,0.44999999999999996,0.08750000000000001,0.28324596774193606,0.4262500000000001,0.3587147177419361,0.34874999999999995,0.78703125,6.404500842760906,1.0238228820508408,5.859104428961413,1,1.655721458850696,0.3533377358153436,0.7019695402838135,0.1386488641314541,-0.2483853717749722,0.4391850165218863
r,S2,0.9,0.95,0.29999999999999993,0.1,0.10898148148148137,0.6300000000000001,0.20398148148148137,0.26999999999999996,0.855,9.537717089614834,1.0265610438024226,14.821428571428575,1,1.380564005370868,0.31627204292362876,0.6963955345278561,0.09722543015998225,-0.18753854305083423,0.5187274411112764
f,F2,0.4,0.6,0.9,0.05,1.1466666666666667,0.039999999999999994,1.1766666666666667,0.36000000000000004,0.57,3.355327340623881,1.0261627906976745,1.9651741293532337,1,2.688130088073105,0.7846382359507653,0.6669309095861684,0.21030642395313132,-0.25944370029133784,0.2561450507915502
f,F1,0.525,0.6875,0.75,0.0625,0.7713194444444444,0.13125,0.8142881944444444,0.39375000000000004,0.64453125,3.9394903360672155,1.0382512451577202,2.566744730679157,1,2.2306644705704124,0.5645773577225235,0.6820498194008904,0.1896895955939753,-0.26793755383348633,0.3166804278097727
f,M,0.65,0.7749999999999999,0.6,0.07500000000000001,0.5090865384615385,0.26,0.5672115384615385,0.39,0.7168749999999999,4.831530659229164,1.0558439233935921,3.6026091319618665,1,1.9264372218498953,0.4380615514768163,0.6925316519490229,0.16954825422108477,-0.26776639973411087,0.37293949742766475
f,S1,0.775,0.8624999999999999,0.44999999999999996,0.08750000000000001,0.30489919354838724,0.4262500000000001,0.3803679435483872,0.34874999999999995,0.78703125,6.321297380469948,1.085624271718959,5.859104428961413,1,1.6826706609599809,0.36351318139060373,0.6962875228941089,0.14712635251015033,-0.25261393250049025,0.4290293044515612
f,S2,0.9,0.95,0.29999999999999993,0.1,0.13370370370370366,0.6300000000000001,0.22870370370370366,0.26999999999999996,0.855,9.275475479097716,1.150978564771668,14.821428571428575,1,1.4269447796480734,0.33141529552768345,0.685083782325165,0.11288741901769567,-0.20073558728730723,0.4949132259477162
