iter,ll,accept,sd,spp,foc_sp,nei_sp
1,-1574.9095507379916,NA,0,0,Lupinus argenteus,Lupinus argenteus
1,-1574.9095507379916,NA,0,0,Ivesia gordonii,Lupinus argenteus
1,-1574.9095507379916,NA,0,0,Eriogonum umbellatum,Lupinus argenteus
1,-1574.9095507379916,NA,0,0,Heterotheca villosa,Lupinus argenteus
1,-1574.9095507379916,NA,0,0,Lupinus argenteus,Ivesia gordonii
1,-1574.9095507379916,NA,0,0,Ivesia gordonii,Ivesia gordonii
1,-1574.9095507379916,NA,0,0,Eriogonum umbellatum,Ivesia gordonii
1,-1574.9095507379916,NA,0,0,Heterotheca villosa,Ivesia gordonii
1,-1574.9095507379916,NA,0,0,Lupinus argenteus,Eriogonum umbellatum
1,-1574.9095507379916,NA,0,0,Ivesia gordonii,Eriogonum umbellatum
1,-1574.9095507379916,NA,0,0,Eriogonum umbellatum,Eriogonum umbellatum
1,-1574.9095507379916,NA,0,0,Heterotheca villosa,Eriogonum umbellatum
1,-1574.9095507379916,NA,0,0,Lupinus argenteus,Heterotheca villosa
1,-1574.9095507379916,NA,0,0,Ivesia gordonii,Heterotheca villosa
1,-1574.9095507379916,NA,0,0,Eriogonum umbellatum,Heterotheca villosa
1,-1574.9095507379916,NA,0,0,Heterotheca villosa,Heterotheca villosa
2,-1574.9095507379916,0,0,0,Lupinus argenteus,Lupinus argenteus
2,-1574.9095507379916,0,0,0,Ivesia gordonii,Lupinus argenteus
2,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Lupinus argenteus
2,-1574.9095507379916,0,0,0,Heterotheca villosa,Lupinus argenteus
2,-1574.9095507379916,0,0,0,Lupinus argenteus,Ivesia gordonii
2,-1574.9095507379916,0,0,0,Ivesia gordonii,Ivesia gordonii
2,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Ivesia gordonii
2,-1574.9095507379916,0,0,0,Heterotheca villosa,Ivesia gordonii
2,-1574.9095507379916,0,0,0,Lupinus argenteus,Eriogonum umbellatum
2,-1574.9095507379916,0,0,0,Ivesia gordonii,Eriogonum umbellatum
2,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Eriogonum umbellatum
2,-1574.9095507379916,0,0,0,Heterotheca villosa,Eriogonum umbellatum
2,-1574.9095507379916,0,0,0,Lupinus argenteus,Heterotheca villosa
2,-1574.9095507379916,0,0,0,Ivesia gordonii,Heterotheca villosa
2,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Heterotheca villosa
2,-1574.9095507379916,0,0,0,Heterotheca villosa,Heterotheca villosa
3,-1574.9095507379916,0,0,0,Lupinus argenteus,Lupinus argenteus
3,-1574.9095507379916,0,0,0,Ivesia gordonii,Lupinus argenteus
3,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Lupinus argenteus
3,-1574.9095507379916,0,0,0,Heterotheca villosa,Lupinus argenteus
3,-1574.9095507379916,0,0,0,Lupinus argenteus,Ivesia gordonii
3,-1574.9095507379916,0,0,0,Ivesia gordonii,Ivesia gordonii
3,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Ivesia gordonii
3,-1574.9095507379916,0,0,0,Heterotheca villosa,Ivesia gordonii
3,-1574.9095507379916,0,0,0,Lupinus argenteus,Eriogonum umbellatum
3,-1574.9095507379916,0,0,0,Ivesia gordonii,Eriogonum umbellatum
3,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Eriogonum umbellatum
3,-1574.9095507379916,0,0,0,Heterotheca villosa,Eriogonum umbellatum
3,-1574.9095507379916,0,0,0,Lupinus argenteus,Heterotheca villosa
3,-1574.9095507379916,0,0,0,Ivesia gordonii,Heterotheca villosa
3,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Heterotheca villosa
3,-1574.9095507379916,0,0,0,Heterotheca villosa,Heterotheca villosa
4,-1574.9095507379916,0,0,0,Lupinus argenteus,Lupinus argenteus
4,-1574.9095507379916,0,0,0,Ivesia gordonii,Lupinus argenteus
4,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Lupinus argenteus
4,-1574.9095507379916,0,0,0,Heterotheca villosa,Lupinus argenteus
4,-1574.9095507379916,0,0,0,Lupinus argenteus,Ivesia gordonii
4,-1574.9095507379916,0,0,0,Ivesia gordonii,Ivesia gordonii
4,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Ivesia gordonii
4,-1574.9095507379916,0,0,0,Heterotheca villosa,Ivesia gordonii
4,-1574.9095507379916,0,0,0,Lupinus argenteus,Eriogonum umbellatum
4,-1574.9095507379916,0,0,0,Ivesia gordonii,Eriogonum umbellatum
4,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Eriogonum umbellatum
4,-1574.9095507379916,0,0,0,Heterotheca villosa,Eriogonum umbellatum
4,-1574.9095507379916,0,0,0,Lupinus argenteus,Heterotheca villosa
4,-1574.9095507379916,0,0,0,Ivesia gordonii,Heterotheca villosa
4,-1574.9095507379916,0,0,0,Eriogonum umbellatum,Heterotheca villosa
4,-1574.9095507379916,0,0,0,Heterotheca villosa,Heterotheca villosa
5,-1573.2884334050912,1,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
5,-1573.2884334050912,1,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
5,-1573.2884334050912,1,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
5,-1573.2884334050912,1,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
5,-1573.2884334050912,1,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
5,-1573.2884334050912,1,0.009119956094215913,-4.7146182754762575e-4,Ivesia gordonii,Ivesia gordonii
5,-1573.2884334050912,1,-0.008185958988809526,-3.90696340796582e-5,Eriogonum umbellatum,Ivesia gordonii
5,-1573.2884334050912,1,-0.007044759678142721,-3.116812364148856e-4,Heterotheca villosa,Ivesia gordonii
5,-1573.2884334050912,1,6.082360853875987e-4,4.145980689591584e-4,Lupinus argenteus,Eriogonum umbellatum
5,-1573.2884334050912,1,0.004423596208281489,0.001012906910088257,Ivesia gordonii,Eriogonum umbellatum
5,-1573.2884334050912,1,-0.01574824735212319,2.509982265955829e-5,Eriogonum umbellatum,Eriogonum umbellatum
5,-1573.2884334050912,1,-0.022381078657601958,-2.2018376994420888e-4,Heterotheca villosa,Eriogonum umbellatum
5,-1573.2884334050912,1,-0.008074824276722152,-8.414089494096649e-4,Lupinus argenteus,Heterotheca villosa
5,-1573.2884334050912,1,0.01520540525561811,-9.78655923309112e-4,Ivesia gordonii,Heterotheca villosa
5,-1573.2884334050912,1,-3.551023167604492e-4,-0.0013224626089329927,Eriogonum umbellatum,Heterotheca villosa
5,-1573.2884334050912,1,0.010538993014295709,-3.46465783179735e-4,Heterotheca villosa,Heterotheca villosa
6,-1573.2884334050912,0,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
6,-1573.2884334050912,0,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
6,-1573.2884334050912,0,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
6,-1573.2884334050912,0,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
6,-1573.2884334050912,0,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
6,-1573.2884334050912,0,0.009119956094215913,-4.7146182754762575e-4,Ivesia gordonii,Ivesia gordonii
6,-1573.2884334050912,0,-0.008185958988809526,-3.90696340796582e-5,Eriogonum umbellatum,Ivesia gordonii
6,-1573.2884334050912,0,-0.007044759678142721,-3.116812364148856e-4,Heterotheca villosa,Ivesia gordonii
6,-1573.2884334050912,0,6.082360853875987e-4,4.145980689591584e-4,Lupinus argenteus,Eriogonum umbellatum
6,-1573.2884334050912,0,0.004423596208281489,0.001012906910088257,Ivesia gordonii,Eriogonum umbellatum
6,-1573.2884334050912,0,-0.01574824735212319,2.509982265955829e-5,Eriogonum umbellatum,Eriogonum umbellatum
6,-1573.2884334050912,0,-0.022381078657601958,-2.2018376994420888e-4,Heterotheca villosa,Eriogonum umbellatum
6,-1573.2884334050912,0,-0.008074824276722152,-8.414089494096649e-4,Lupinus argenteus,Heterotheca villosa
6,-1573.2884334050912,0,0.01520540525561811,-9.78655923309112e-4,Ivesia gordonii,Heterotheca villosa
6,-1573.2884334050912,0,-3.551023167604492e-4,-0.0013224626089329927,Eriogonum umbellatum,Heterotheca villosa
6,-1573.2884334050912,0,0.010538993014295709,-3.46465783179735e-4,Heterotheca villosa,Heterotheca villosa
7,-1573.2884334050912,0,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
7,-1573.2884334050912,0,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
7,-1573.2884334050912,0,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
7,-1573.2884334050912,0,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
7,-1573.2884334050912,0,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
7,-1573.2884334050912,0,0.009119956094215913,-4.7146182754762575e-4,Ivesia gordonii,Ivesia gordonii
7,-1573.2884334050912,0,-0.008185958988809526,-3.90696340796582e-5,Eriogonum umbellatum,Ivesia gordonii
7,-1573.2884334050912,0,-0.007044759678142721,-3.116812364148856e-4,Heterotheca villosa,Ivesia gordonii
7,-1573.2884334050912,0,6.082360853875987e-4,4.145980689591584e-4,Lupinus argenteus,Eriogonum umbellatum
7,-1573.2884334050912,0,0.004423596208281489,0.001012906910088257,Ivesia gordonii,Eriogonum umbellatum
7,-1573.2884334050912,0,-0.01574824735212319,2.509982265955829e-5,Eriogonum umbellatum,Eriogonum umbellatum
7,-1573.2884334050912,0,-0.022381078657601958,-2.2018376994420888e-4,Heterotheca villosa,Eriogonum umbellatum
7,-1573.2884334050912,0,-0.008074824276722152,-8.414089494096649e-4,Lupinus argenteus,Heterotheca villosa
7,-1573.2884334050912,0,0.01520540525561811,-9.78655923309112e-4,Ivesia gordonii,Heterotheca villosa
7,-1573.2884334050912,0,-3.551023167604492e-4,-0.0013224626089329927,Eriogonum umbellatum,Heterotheca villosa
7,-1573.2884334050912,0,0.010538993014295709,-3.46465783179735e-4,Heterotheca villosa,Heterotheca villosa
8,-1573.2884334050912,0,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
8,-1573.2884334050912,0,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
8,-1573.2884334050912,0,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
8,-1573.2884334050912,0,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
8,-1573.2884334050912,0,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
8,-1573.2884334050912,0,0.009119956094215913,-4.7146182754762575e-4,Ivesia gordonii,Ivesia gordonii
8,-1573.2884334050912,0,-0.008185958988809526,-3.90696340796582e-5,Eriogonum umbellatum,Ivesia gordonii
8,-1573.2884334050912,0,-0.007044759678142721,-3.116812364148856e-4,Heterotheca villosa,Ivesia gordonii
8,-1573.2884334050912,0,6.082360853875987e-4,4.145980689591584e-4,Lupinus argenteus,Eriogonum umbellatum
8,-1573.2884334050912,0,0.004423596208281489,0.001012906910088257,Ivesia gordonii,Eriogonum umbellatum
8,-1573.2884334050912,0,-0.01574824735212319,2.509982265955829e-5,Eriogonum umbellatum,Eriogonum umbellatum
8,-1573.2884334050912,0,-0.022381078657601958,-2.2018376994420888e-4,Heterotheca villosa,Eriogonum umbellatum
8,-1573.2884334050912,0,-0.008074824276722152,-8.414089494096649e-4,Lupinus argenteus,Heterotheca villosa
8,-1573.2884334050912,0,0.01520540525561811,-9.78655923309112e-4,Ivesia gordonii,Heterotheca villosa
8,-1573.2884334050912,0,-3.551023167604492e-4,-0.0013224626089329927,Eriogonum umbellatum,Heterotheca villosa
8,-1573.2884334050912,0,0.010538993014295709,-3.46465783179735e-4,Heterotheca villosa,Heterotheca villosa
9,-1573.2884334050912,0,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
9,-1573.2884334050912,0,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
9,-1573.2884334050912,0,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
9,-1573.2884334050912,0,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
9,-1573.2884334050912,0,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
9,-1573.2884334050912,0,0.009119956094215913,-4.7146182754762575e-4,Ivesia gordonii,Ivesia gordonii
9,-1573.2884334050912,0,-0.008185958988809526,-3.90696340796582e-5,Eriogonum umbellatum,Ivesia gordonii
9,-1573.2884334050912,0,-0.007044759678142721,-3.116812364148856e-4,Heterotheca villosa,Ivesia gordonii
9,-1573.2884334050912,0,6.082360853875987e-4,4.145980689591584e-4,Lupinus argenteus,Eriogonum umbellatum
9,-1573.2884334050912,0,0.004423596208281489,0.001012906910088257,Ivesia gordonii,Eriogonum umbellatum
9,-1573.2884334050912,0,-0.01574824735212319,2.509982265955829e-5,Eriogonum umbellatum,Eriogonum umbellatum
9,-1573.2884334050912,0,-0.022381078657601958,-2.2018376994420888e-4,Heterotheca villosa,Eriogonum umbellatum
9,-1573.2884334050912,0,-0.008074824276722152,-8.414089494096649e-4,Lupinus argenteus,Heterotheca villosa
9,-1573.2884334050912,0,0.01520540525561811,-9.78655923309112e-4,Ivesia gordonii,Heterotheca villosa
9,-1573.2884334050912,0,-3.551023167604492e-4,-0.0013224626089329927,Eriogonum umbellatum,Heterotheca villosa
9,-1573.2884334050912,0,0.010538993014295709,-3.46465783179735e-4,Heterotheca villosa,Heterotheca villosa
10,-1573.2884334050912,0,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
10,-1573.2884334050912,0,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
10,-1573.2884334050912,0,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
10,-1573.2884334050912,0,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
10,-1573.2884334050912,0,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
10,-1573.2884334050912,0,0.009119956094215913,-4.7146182754762575e-4,Ivesia gordonii,Ivesia gordonii
10,-1573.2884334050912,0,-0.008185958988809526,-3.90696340796582e-5,Eriogonum umbellatum,Ivesia gordonii
10,-1573.2884334050912,0,-0.007044759678142721,-3.116812364148856e-4,Heterotheca villosa,Ivesia gordonii
10,-1573.2884334050912,0,6.082360853875987e-4,4.145980689591584e-4,Lupinus argenteus,Eriogonum umbellatum
10,-1573.2884334050912,0,0.004423596208281489,0.001012906910088257,Ivesia gordonii,Eriogonum umbellatum
10,-1573.2884334050912,0,-0.01574824735212319,2.509982265955829e-5,Eriogonum umbellatum,Eriogonum umbellatum
10,-1573.2884334050912,0,-0.022381078657601958,-2.2018376994420888e-4,Heterotheca villosa,Eriogonum umbellatum
10,-1573.2884334050912,0,-0.008074824276722152,-8.414089494096649e-4,Lupinus argenteus,Heterotheca villosa
10,-1573.2884334050912,0,0.01520540525561811,-9.78655923309112e-4,Ivesia gordonii,Heterotheca villosa
10,-1573.2884334050912,0,-3.551023167604492e-4,-0.0013224626089329927,Eriogonum umbellatum,Heterotheca villosa
10,-1573.2884334050912,0,0.010538993014295709,-3.46465783179735e-4,Heterotheca villosa,Heterotheca villosa
11,-1573.2884334050912,0,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
11,-1573.2884334050912,0,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
11,-1573.2884334050912,0,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
11,-1573.2884334050912,0,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
11,-1573.2884334050912,0,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
11,-1573.2884334050912,0,0.009119956094215913,-4.7146182754762575e-4,Ivesia gordonii,Ivesia gordonii
11,-1573.2884334050912,0,-0.008185958988809526,-3.90696340796582e-5,Eriogonum umbellatum,Ivesia gordonii
11,-1573.2884334050912,0,-0.007044759678142721,-3.116812364148856e-4,Heterotheca villosa,Ivesia gordonii
11,-1573.2884334050912,0,6.082360853875987e-4,4.145980689591584e-4,Lupinus argenteus,Eriogonum umbellatum
11,-1573.2884334050912,0,0.004423596208281489,0.001012906910088257,Ivesia gordonii,Eriogonum umbellatum
11,-1573.2884334050912,0,-0.01574824735212319,2.509982265955829e-5,Eriogonum umbellatum,Eriogonum umbellatum
11,-1573.2884334050912,0,-0.022381078657601958,-2.2018376994420888e-4,Heterotheca villosa,Eriogonum umbellatum
11,-1573.2884334050912,0,-0.008074824276722152,-8.414089494096649e-4,Lupinus argenteus,Heterotheca villosa
11,-1573.2884334050912,0,0.01520540525561811,-9.78655923309112e-4,Ivesia gordonii,Heterotheca villosa
11,-1573.2884334050912,0,-3.551023167604492e-4,-0.0013224626089329927,Eriogonum umbellatum,Heterotheca villosa
11,-1573.2884334050912,0,0.010538993014295709,-3.46465783179735e-4,Heterotheca villosa,Heterotheca villosa
12,-1573.2884334050912,0,-0.008360826538624943,-3.6331783940841253e-5,Lupinus argenteus,Lupinus argenteus
12,-1573.2884334050912,0,-0.009224954299199244,5.719149108611714e-4,Ivesia gordonii,Lupinus argenteus
12,-1573.2884334050912,0,-0.011234640036214598,-2.479664954003928e-4,Eriogonum umbellatum,Lupinus argenteus
12,-1573.2884334050912,0,0.003722868589142202,4.339635042709615e-5,Heterotheca villosa,Lupinus argenteus
12,-1573.2884334050912,0,0.019107354813111408,-3.8849493058457557e-4,Lupinus argenteus,Ivesia gordonii
