Year,Taxon,Stage,N.live,N.dead,N.NA
2014,Achnatherum lettermanii,L,11,0,0
2014,Achnatherum lettermanii,S,5,0,0
2015,Achnatherum lettermanii,L,14,0,0
2015,Achnatherum lettermanii,S,3,0,0
2016,Achnatherum lettermanii,L,17,0,0
2016,Achnatherum lettermanii,S,1,0,0
2017,Achnatherum lettermanii,L,16,0,0
2017,Achnatherum lettermanii,S,1,1,0
2018,Achnatherum lettermanii,L,14,0,0
2018,Achnatherum lettermanii,S,1,2,0
2019,Achnatherum lettermanii,L,8,0,0
2019,Achnatherum lettermanii,S,0,7,0
2020,Achnatherum lettermanii,L,6,0,0
2020,Achnatherum lettermanii,S,0,2,0
2021,Achnatherum lettermanii,L,4,0,0
2021,Achnatherum lettermanii,S,4,1,0
2022,Achnatherum lettermanii,L,12,0,0
2022,Achnatherum lettermanii,S,4,0,0
2014,Agoseris glauca,L,17,0,0
2014,Agoseris glauca,S,6,0,0
2015,Agoseris glauca,L,22,1,0
2015,Agoseris glauca,S,33,0,0
2016,Agoseris glauca,L,30,0,0
2016,Agoseris glauca,S,44,4,0
2017,Agoseris glauca,L,35,0,0
2017,Agoseris glauca,S,28,25,0
2018,Agoseris glauca,L,13,0,0
2018,Agoseris glauca,S,11,43,0
2019,Agoseris glauca,L,10,0,0
2019,Agoseris glauca,S,13,7,0
2020,Agoseris glauca,L,8,0,0
2020,Agoseris glauca,S,19,10,0
2021,Agoseris glauca,L,5,0,0
2021,Agoseris glauca,S,19,11,0
2022,Agoseris glauca,L,15,0,0
2022,Agoseris glauca,S,29,0,0
2014,Arenaria congesta,L,6,0,0
2014,Arenaria congesta,S,7,0,0
2015,Arenaria congesta,L,9,0,0
2015,Arenaria congesta,S,52,9,0
2016,Arenaria congesta,L,13,0,0
2016,Arenaria congesta,S,66,40,0
2017,Arenaria congesta,L,38,6,0
2017,Arenaria congesta,S,25,13,0
2018,Arenaria congesta,L,32,10,0
2018,Arenaria congesta,S,19,0,0
2019,Arenaria congesta,L,32,11,0
2019,Arenaria congesta,S,20,3,0
2020,Arenaria congesta,L,43,3,0
2020,Arenaria congesta,S,17,7,0
2021,Arenaria congesta,L,32,0,0
2021,Arenaria congesta,S,39,16,0
2022,Arenaria congesta,L,42,0,0
2022,Arenaria congesta,S,53,0,0
2014,Arnica latifolia,L,6,0,0
2015,Arnica latifolia,L,6,0,0
2015,Arnica latifolia,S,3,0,0
2016,Arnica latifolia,L,5,0,0
2016,Arnica latifolia,S,7,1,0
2017,Arnica latifolia,L,10,0,0
2017,Arnica latifolia,S,4,2,0
2018,Arnica latifolia,L,10,0,0
2018,Arnica latifolia,S,2,2,0
2019,Arnica latifolia,L,8,0,0
2019,Arnica latifolia,S,1,5,0
2020,Arnica latifolia,L,6,0,0
2020,Arnica latifolia,S,3,2,0
2021,Arnica latifolia,L,6,0,0
2021,Arnica latifolia,S,0,3,0
2022,Arnica latifolia,L,8,0,0
2014,Carex siccata,L,37,0,0
2015,Carex siccata,L,39,0,0
2015,Carex siccata,S,3,3,0
2016,Carex siccata,L,45,0,0
2016,Carex siccata,S,1,1,0
2017,Carex siccata,L,41,0,0
2017,Carex siccata,S,3,6,0
2018,Carex siccata,L,42,0,0
2018,Carex siccata,S,1,12,0
2019,Carex siccata,L,40,0,0
2019,Carex siccata,S,6,8,0
2020,Carex siccata,L,39,0,0
2020,Carex siccata,S,2,13,0
2021,Carex siccata,L,26,1,0
2021,Carex siccata,S,3,15,0
2022,Carex siccata,L,30,0,0
2022,Carex siccata,S,5,0,0
2014,Chaenactis douglasii,L,5,0,0
2014,Chaenactis douglasii,S,3,0,0
2015,Chaenactis douglasii,L,8,0,0
2015,Chaenactis douglasii,S,14,4,0
2016,Chaenactis douglasii,L,9,0,0
2016,Chaenactis douglasii,S,14,9,0
2017,Chaenactis douglasii,L,7,0,0
2017,Chaenactis douglasii,S,5,14,0
2018,Chaenactis douglasii,L,3,1,0
2018,Chaenactis douglasii,S,5,6,0
2019,Chaenactis douglasii,L,4,0,0
2019,Chaenactis douglasii,S,5,4,0
2020,Chaenactis douglasii,L,2,0,0
2020,Chaenactis douglasii,S,7,7,0
2021,Chaenactis douglasii,L,2,0,0
2021,Chaenactis douglasii,S,1,6,0
2022,Chaenactis douglasii,L,10,0,0
2022,Chaenactis douglasii,S,14,0,0
2014,Elymus lanceolatus,L,116,3,0
2014,Elymus lanceolatus,S,27,3,0
2015,Elymus lanceolatus,L,118,16,0
2015,Elymus lanceolatus,S,12,5,0
2016,Elymus lanceolatus,L,133,2,0
2016,Elymus lanceolatus,S,9,0,0
2017,Elymus lanceolatus,L,117,1,0
2017,Elymus lanceolatus,S,13,19,0
2018,Elymus lanceolatus,L,115,0,0
2018,Elymus lanceolatus,S,14,10,0
2019,Elymus lanceolatus,L,112,1,0
2019,Elymus lanceolatus,S,16,8,0
2020,Elymus lanceolatus,L,112,0,0
2020,Elymus lanceolatus,S,16,17,0
2021,Elymus lanceolatus,L,111,0,0
2021,Elymus lanceolatus,S,18,8,0
2022,Elymus lanceolatus,L,183,0,0
2022,Elymus lanceolatus,S,42,0,0
2014,Eriogonum umbellatum,L,111,0,0
2014,Eriogonum umbellatum,S,43,0,0
2015,Eriogonum umbellatum,L,114,1,0
2015,Eriogonum umbellatum,S,95,27,0
2016,Eriogonum umbellatum,L,109,3,0
2016,Eriogonum umbellatum,S,131,76,0
2017,Eriogonum umbellatum,L,116,0,0
2017,Eriogonum umbellatum,S,59,74,0
2018,Eriogonum umbellatum,L,106,0,0
2018,Eriogonum umbellatum,S,24,48,0
2019,Eriogonum umbellatum,L,106,0,0
2019,Eriogonum umbellatum,S,24,9,0
2020,Eriogonum umbellatum,L,107,0,0
2020,Eriogonum umbellatum,S,105,188,0
2021,Eriogonum umbellatum,L,105,0,0
2021,Eriogonum umbellatum,S,46,70,0
2022,Eriogonum umbellatum,L,184,0,0
2022,Eriogonum umbellatum,S,83,0,0
2014,Heterotheca villosa,L,60,0,0
2014,Heterotheca villosa,S,24,0,0
2015,Heterotheca villosa,L,73,0,0
2015,Heterotheca villosa,S,41,5,0
2016,Heterotheca villosa,L,73,0,0
2016,Heterotheca villosa,S,41,21,0
2017,Heterotheca villosa,L,59,0,0
2017,Heterotheca villosa,S,20,45,0
2018,Heterotheca villosa,L,25,0,0
2018,Heterotheca villosa,S,6,52,0
2019,Heterotheca villosa,L,29,0,0
2019,Heterotheca villosa,S,14,1,0
2020,Heterotheca villosa,L,30,0,0
2020,Heterotheca villosa,S,3,20,0
2021,Heterotheca villosa,L,27,0,0
2021,Heterotheca villosa,S,8,7,0
2022,Heterotheca villosa,L,49,0,0
2022,Heterotheca villosa,S,25,0,0
2014,Indet indet1,S,1,0,0
2015,Indet indet1,S,0,1,0
2020,Indet indet2,S,0,23,0
2020,Indet indet3,S,0,1,0
2014,Ivesia gordonii,L,152,0,0
2014,Ivesia gordonii,S,34,0,0
2015,Ivesia gordonii,L,153,1,0
2015,Ivesia gordonii,S,114,14,0
2016,Ivesia gordonii,L,166,12,0
2016,Ivesia gordonii,S,127,57,0
2017,Ivesia gordonii,L,125,1,0
2017,Ivesia gordonii,S,72,109,0
2018,Ivesia gordonii,L,113,0,0
2018,Ivesia gordonii,S,35,54,0
2019,Ivesia gordonii,L,119,5,0
2019,Ivesia gordonii,S,23,15,0
2020,Ivesia gordonii,L,116,0,0
2020,Ivesia gordonii,S,36,27,0
2021,Ivesia gordonii,L,98,0,0
2021,Ivesia gordonii,S,17,50,0
2022,Ivesia gordonii,L,190,0,0
2022,Ivesia gordonii,S,125,0,0
2014,Lupinus argenteus,L,329,0,0
2014,Lupinus argenteus,S,36,0,0
2015,Lupinus argenteus,L,319,0,0
2015,Lupinus argenteus,S,306,95,0
2016,Lupinus argenteus,L,326,0,0
2016,Lupinus argenteus,S,186,252,0
2017,Lupinus argenteus,L,154,0,0
2017,Lupinus argenteus,S,100,309,0
2018,Lupinus argenteus,L,51,0,0
2018,Lupinus argenteus,S,27,188,0
2019,Lupinus argenteus,L,28,0,0
2019,Lupinus argenteus,S,15,37,0
2020,Lupinus argenteus,L,22,0,0
2020,Lupinus argenteus,S,7,20,0
2021,Lupinus argenteus,L,22,0,0
2021,Lupinus argenteus,S,3,6,0
2022,Lupinus argenteus,L,54,0,0
2022,Lupinus argenteus,S,27,0,0
2014,Penstemon whippleanus,L,1,0,0
2015,Penstemon whippleanus,L,2,0,0
2016,Penstemon whippleanus,L,2,0,0
2016,Penstemon whippleanus,S,3,0,0
2017,Penstemon whippleanus,L,3,0,0
2017,Penstemon whippleanus,S,0,2,0
2018,Penstemon whippleanus,L,2,0,0
2018,Penstemon whippleanus,S,0,1,0
2019,Penstemon whippleanus,L,4,0,0
2020,Penstemon whippleanus,L,3,0,0
2020,Penstemon whippleanus,S,0,1,0
2021,Penstemon whippleanus,L,2,0,0
2021,Penstemon whippleanus,S,0,1,0
2022,Penstemon whippleanus,L,3,0,0
2014,Phacelia hastata,L,8,1,0
2014,Phacelia hastata,S,4,0,0
2015,Phacelia hastata,L,11,0,0
2015,Phacelia hastata,S,18,1,0
2016,Phacelia hastata,L,18,0,0
2016,Phacelia hastata,S,19,7,0
2017,Phacelia hastata,L,19,0,0
2017,Phacelia hastata,S,12,16,0
2018,Phacelia hastata,L,10,0,0
2018,Phacelia hastata,S,7,17,0
2019,Phacelia hastata,L,9,0,0
2019,Phacelia hastata,S,5,7,0
2020,Phacelia hastata,L,8,0,0
2020,Phacelia hastata,S,1,5,0
2021,Phacelia hastata,L,5,0,0
2021,Phacelia hastata,S,7,4,0
2022,Phacelia hastata,L,9,0,0
2022,Phacelia hastata,S,28,0,0
2014,Poa stenantha,L,6,0,0
2014,Poa stenantha,S,2,0,0
2015,Poa stenantha,L,8,0,0
2015,Poa stenantha,S,1,0,0
2016,Poa stenantha,L,9,0,0
2016,Poa stenantha,S,3,0,0
2017,Poa stenantha,L,9,1,0
2017,Poa stenantha,S,2,1,0
2018,Poa stenantha,L,7,0,0
2018,Poa stenantha,S,1,3,0
2019,Poa stenantha,L,7,0,0
2019,Poa stenantha,S,0,1,0
2020,Poa stenantha,L,4,0,0
2020,Poa stenantha,S,1,3,0
2021,Poa stenantha,L,4,0,0
2021,Poa stenantha,S,3,1,0
2022,Poa stenantha,L,7,0,0
2022,Poa stenantha,S,6,0,0
2014,Pseudocymopterus montanus,L,2,0,0
2015,Pseudocymopterus montanus,L,3,0,0
2016,Pseudocymopterus montanus,L,3,0,0
2016,Pseudocymopterus montanus,S,1,0,0
2017,Pseudocymopterus montanus,L,1,0,0
2017,Pseudocymopterus montanus,S,0,3,0
2018,Pseudocymopterus montanus,S,0,1,0
2022,Pseudocymopterus montanus,L,2,0,0
2014,Senecio crassulus,L,13,0,0
2014,Senecio crassulus,S,5,0,0
2015,Senecio crassulus,L,13,0,0
2015,Senecio crassulus,S,67,7,0
2016,Senecio crassulus,L,18,0,0
2016,Senecio crassulus,S,90,23,0
2017,Senecio crassulus,L,48,0,0
2017,Senecio crassulus,S,48,45,0
2018,Senecio crassulus,L,18,0,0
2018,Senecio crassulus,S,18,65,0
2019,Senecio crassulus,L,17,0,0
2019,Senecio crassulus,S,9,15,0
2020,Senecio crassulus,L,16,0,0
2020,Senecio crassulus,S,28,30,0
2021,Senecio crassulus,L,10,0,0
2021,Senecio crassulus,S,5,30,0
2022,Senecio crassulus,L,16,0,0
2022,Senecio crassulus,S,25,0,0
2022,Valeriana acutiloba,NA,2,0,0
2014,Viola praemorsa,L,2,0,0
2015,Viola praemorsa,L,2,0,0
2015,Viola praemorsa,S,4,2,0
2016,Viola praemorsa,L,4,0,0
2016,Viola praemorsa,S,5,3,0
2017,Viola praemorsa,L,4,0,0
2017,Viola praemorsa,S,1,5,0
2018,Viola praemorsa,L,3,0,0
2018,Viola praemorsa,S,0,2,0
2019,Viola praemorsa,L,3,0,0
2019,Viola praemorsa,S,1,0,0
2020,Viola praemorsa,L,4,0,0
2020,Viola praemorsa,S,0,1,0
2021,Viola praemorsa,L,3,0,0
2021,Viola praemorsa,S,0,1,0
2022,Viola praemorsa,L,3,0,0
